id,masterCategory,subCategory,articleType
1163,Apparel,Topwear,Tshirts
1164,Apparel,Topwear,Tshirts
1165,Apparel,Topwear,Tshirts
1525,Accessories,Bags,Backpacks
1526,Accessories,Bags,Backpacks
1528,Apparel,Topwear,Jackets
1529,Apparel,Topwear,Tshirts
1530,Apparel,Topwear,Jackets
1531,Apparel,Topwear,Tshirts
1532,Apparel,Topwear,Tshirts
1533,Apparel,Topwear,Tshirts
1534,Apparel,Topwear,Tshirts
1535,Accessories,Headwear,Caps
1536,Apparel,Topwear,Tshirts
1537,Apparel,Topwear,Tshirts
1538,Apparel,Topwear,Tshirts
1539,Apparel,Topwear,Tshirts
1540,Apparel,Topwear,Tshirts
1541,Footwear,Shoes,Sports Shoes
1542,Footwear,Shoes,Sports Shoes
1543,Footwear,Shoes,Casual Shoes
1544,Footwear,Shoes,Casual Shoes
1545,Footwear,Shoes,Casual Shoes
1546,Footwear,Shoes,Casual Shoes
1547,Footwear,Shoes,Casual Shoes
1548,Footwear,Shoes,Sports Shoes
1549,Footwear,Shoes,Sports Shoes
1556,Accessories,Bags,Backpacks
1557,Accessories,Bags,Backpacks
1559,Accessories,Bags,Backpacks
1561,Apparel,Topwear,Tshirts
1562,Apparel,Topwear,Tshirts
1563,Apparel,Topwear,Tshirts
1565,Accessories,Bags,Backpacks
1566,Accessories,Headwear,Caps
1567,Apparel,Bottomwear,Shorts
1569,Apparel,Bottomwear,Shorts
1570,Apparel,Topwear,Tshirts
1571,Footwear,Shoes,Sports Shoes
1572,Apparel,Bottomwear,Track Pants
1573,Apparel,Bottomwear,Track Pants
1575,Apparel,Topwear,Tshirts
1577,Accessories,Headwear,Caps
1578,Apparel,Topwear,Tshirts
1579,Apparel,Topwear,Jackets
1581,Accessories,Headwear,Caps
1584,Apparel,Topwear,Jackets
1587,Footwear,Shoes,Sports Shoes
1588,Apparel,Topwear,Tshirts
1590,Footwear,Shoes,Sports Shoes
1591,Apparel,Bottomwear,Shorts
1592,Footwear,Shoes,Sports Shoes
1594,Footwear,Shoes,Casual Shoes
1595,Apparel,Topwear,Tshirts
1597,Accessories,Bags,Handbags
1598,Accessories,Bags,Handbags
1599,Accessories,Bags,Handbags
1603,Apparel,Topwear,Sweatshirts
1604,Apparel,Bottomwear,Track Pants
1605,Apparel,Bottomwear,Track Pants
1607,Apparel,Bottomwear,Track Pants
1608,Apparel,Bottomwear,Track Pants
1609,Apparel,Topwear,Sweatshirts
1610,Apparel,Topwear,Jackets
1611,Apparel,Topwear,Jackets
1612,Apparel,Topwear,Tshirts
1613,Apparel,Topwear,Tshirts
1614,Apparel,Topwear,Tshirts
1615,Apparel,Topwear,Tshirts
1616,Apparel,Topwear,Tshirts
1617,Apparel,Topwear,Tshirts
1618,Footwear,Shoes,Sports Shoes
1619,Apparel,Bottomwear,Shorts
1620,Apparel,Bottomwear,Shorts
1621,Apparel,Bottomwear,Shorts
1622,Apparel,Topwear,Jackets
1623,Accessories,Bags,Backpacks
1624,Accessories,Bags,Backpacks
1625,Apparel,Topwear,Tshirts
1634,Footwear,Shoes,Sports Shoes
1635,Footwear,Shoes,Casual Shoes
1636,Footwear,Shoes,Sports Shoes
1637,Footwear,Shoes,Sports Shoes
1641,Footwear,Shoes,Sports Shoes
1642,Footwear,Shoes,Sports Shoes
1644,Apparel,Topwear,Tshirts
1645,Apparel,Topwear,Tshirts
1646,Accessories,Bags,Backpacks
1647,Accessories,Bags,Backpacks
1648,Accessories,Bags,Backpacks
1649,Footwear,Shoes,Casual Shoes
1651,Apparel,Topwear,Tshirts
1653,Footwear,Shoes,Sports Shoes
1654,Footwear,Shoes,Sports Shoes
1656,Accessories,Headwear,Caps
1657,Footwear,Shoes,Sports Shoes
1658,Apparel,Topwear,Jackets
1662,Apparel,Topwear,Jackets
1668,Apparel,Topwear,Tshirts
1670,Apparel,Topwear,Tshirts
1671,Apparel,Topwear,Tshirts
1673,Apparel,Topwear,Tshirts
1678,Apparel,Topwear,Tshirts
1689,Apparel,Topwear,Tshirts
1697,Accessories,Bags,Backpacks
1727,Footwear,Shoes,Casual Shoes
1728,Footwear,Shoes,Sports Shoes
1729,Footwear,Shoes,Casual Shoes
1730,Footwear,Shoes,Sports Shoes
1731,Footwear,Shoes,Sports Shoes
1752,Apparel,Topwear,Tshirts
1754,Apparel,Topwear,Tshirts
1755,Apparel,Topwear,Tshirts
1756,Apparel,Topwear,Tshirts
1757,Apparel,Topwear,Tshirts
1758,Apparel,Topwear,Jackets
1759,Apparel,Topwear,Tshirts
1760,Apparel,Topwear,Tshirts
1762,Apparel,Topwear,Tshirts
1763,Apparel,Topwear,Tshirts
1764,Apparel,Bottomwear,Track Pants
1765,Apparel,Topwear,Tshirts
1766,Apparel,Topwear,Tshirts
1782,Footwear,Shoes,Sports Shoes
1783,Footwear,Sandal,Sandals
1784,Footwear,Shoes,Sports Shoes
1785,Footwear,Shoes,Sports Shoes
1786,Footwear,Shoes,Sports Shoes
1787,Footwear,Shoes,Sports Shoes
1788,Footwear,Shoes,Sports Shoes
1789,Footwear,Shoes,Sports Shoes
1790,Accessories,Bags,Backpacks
1791,Accessories,Bags,Backpacks
1792,Accessories,Bags,Backpacks
1793,Accessories,Bags,Backpacks
1794,Accessories,Bags,Backpacks
1795,Accessories,Bags,Backpacks
1796,Apparel,Topwear,Tshirts
1798,Apparel,Topwear,Tshirts
1799,Apparel,Bottomwear,Track Pants
1800,Accessories,Bags,Backpacks
1801,Accessories,Bags,Backpacks
1802,Footwear,Shoes,Sports Shoes
1803,Apparel,Topwear,Tshirts
1804,Apparel,Bottomwear,Shorts
1805,Footwear,Shoes,Casual Shoes
1806,Footwear,Sandal,Sandals
1807,Apparel,Topwear,Tshirts
1809,Apparel,Topwear,Tshirts
1810,Apparel,Topwear,Tshirts
1811,Apparel,Topwear,Tshirts
1812,Apparel,Topwear,Tshirts
1813,Apparel,Topwear,Tshirts
1814,Apparel,Topwear,Tshirts
1827,Footwear,Shoes,Sports Shoes
1828,Footwear,Shoes,Sports Shoes
1831,Footwear,Shoes,Sports Shoes
1832,Footwear,Shoes,Sports Shoes
1833,Footwear,Shoes,Sports Shoes
1836,Footwear,Shoes,Sports Shoes
1841,Footwear,Shoes,Sports Shoes
1842,Footwear,Shoes,Sports Shoes
1844,Apparel,Topwear,Tshirts
1845,Apparel,Topwear,Tshirts
1846,Apparel,Topwear,Tshirts
1847,Apparel,Topwear,Tshirts
1848,Apparel,Topwear,Tshirts
1849,Apparel,Topwear,Tshirts
1852,Apparel,Topwear,Tshirts
1853,Apparel,Topwear,Tshirts
1854,Apparel,Topwear,Tshirts
1855,Apparel,Topwear,Tshirts
1856,Apparel,Topwear,Tshirts
1857,Apparel,Topwear,Tshirts
1859,Apparel,Topwear,Tshirts
1860,Apparel,Topwear,Tshirts
