id,masterCategory,subCategory,articleType
4259,Apparel,Topwear,Tshirts
7559,Apparel,Topwear,Tshirts
10846,Apparel,Topwear,Tshirts
3863,Apparel,Topwear,Tshirts
12195,Apparel,Topwear,Tshirts
29016,Apparel,Topwear,Tshirts
28534,Apparel,Topwear,Tshirts
41403,Apparel,Topwear,Tshirts
37547,Apparel,Topwear,Tshirts
28684,Apparel,Topwear,Tshirts
57174,Apparel,Topwear,Tshirts
24345,Apparel,Topwear,Tshirts
7552,Apparel,Topwear,Tshirts
31580,Apparel,Topwear,Tshirts
4325,Apparel,Topwear,Tshirts
38490,Apparel,Topwear,Tshirts
24144,Apparel,Topwear,Tshirts
52056,Apparel,Topwear,Tshirts
5659,Apparel,Topwear,Tshirts
8276,Apparel,Topwear,Tshirts
53112,Apparel,Topwear,Tshirts
19113,Apparel,Topwear,Tshirts
3057,Apparel,Topwear,Tshirts
4965,Apparel,Topwear,Tshirts
28845,Apparel,Topwear,Tshirts
16129,Apparel,Topwear,Tshirts
22482,Apparel,Topwear,Tshirts
2858,Apparel,Topwear,Tshirts
4959,Apparel,Topwear,Tshirts
5149,Apparel,Topwear,Tshirts
1993,Apparel,Topwear,Tshirts
16418,Apparel,Topwear,Tshirts
14648,Apparel,Topwear,Tshirts
2320,Apparel,Topwear,Tshirts
48440,Apparel,Topwear,Tshirts
2322,Apparel,Topwear,Tshirts
2024,Apparel,Topwear,Tshirts
54951,Apparel,Topwear,Tshirts
34370,Apparel,Topwear,Tshirts
15206,Apparel,Topwear,Tshirts
3075,Apparel,Topwear,Tshirts
2006,Apparel,Topwear,Tshirts
4196,Apparel,Topwear,Tshirts
10013,Apparel,Topwear,Tshirts
14534,Apparel,Topwear,Tshirts
57932,Apparel,Topwear,Tshirts
16828,Apparel,Topwear,Tshirts
2936,Apparel,Topwear,Tshirts
46402,Apparel,Topwear,Tshirts
12614,Apparel,Topwear,Tshirts
30590,Apparel,Topwear,Tshirts
3206,Apparel,Topwear,Tshirts
1755,Apparel,Topwear,Tshirts
44851,Apparel,Topwear,Tshirts
57823,Apparel,Topwear,Tshirts
8323,Apparel,Topwear,Tshirts
15473,Apparel,Topwear,Tshirts
58577,Apparel,Topwear,Tshirts
2302,Apparel,Topwear,Tshirts
40675,Apparel,Topwear,Tshirts
12588,Apparel,Topwear,Tshirts
44838,Apparel,Topwear,Tshirts
4042,Apparel,Topwear,Tshirts
53766,Apparel,Topwear,Tshirts
20001,Apparel,Topwear,Tshirts
13954,Apparel,Topwear,Tshirts
12199,Apparel,Topwear,Tshirts
25928,Apparel,Topwear,Tshirts
22909,Apparel,Topwear,Tshirts
6695,Apparel,Topwear,Tshirts
31255,Apparel,Topwear,Tshirts
5796,Apparel,Topwear,Tshirts
12629,Apparel,Topwear,Tshirts
9543,Apparel,Topwear,Tshirts
3446,Apparel,Topwear,Tshirts
7153,Apparel,Topwear,Tshirts
9860,Apparel,Topwear,Tshirts
42109,Apparel,Topwear,Tshirts
11272,Apparel,Topwear,Tshirts
16201,Apparel,Topwear,Tshirts
24340,Apparel,Topwear,Tshirts
19605,Apparel,Topwear,Tshirts
24020,Apparel,Topwear,Tshirts
44889,Apparel,Topwear,Tshirts
52078,Apparel,Topwear,Tshirts
38153,Apparel,Topwear,Tshirts
10722,Apparel,Topwear,Tshirts
13454,Apparel,Topwear,Tshirts
8400,Apparel,Topwear,Tshirts
5720,Apparel,Topwear,Tshirts
48078,Apparel,Topwear,Tshirts
5543,Apparel,Topwear,Tshirts
9339,Apparel,Topwear,Tshirts
17502,Apparel,Topwear,Tshirts
2212,Apparel,Topwear,Tshirts
5157,Apparel,Topwear,Tshirts
6264,Apparel,Topwear,Tshirts
7127,Apparel,Topwear,Tshirts
7583,Apparel,Topwear,Tshirts
36304,Apparel,Topwear,Tshirts
35970,Apparel,Topwear,Tshirts
7868,Apparel,Topwear,Tshirts
30550,Apparel,Topwear,Tshirts
18235,Apparel,Topwear,Tshirts
7788,Apparel,Topwear,Tshirts
31291,Apparel,Topwear,Tshirts
50713,Apparel,Topwear,Tshirts
40037,Apparel,Topwear,Tshirts
53282,Apparel,Topwear,Tshirts
4946,Apparel,Topwear,Tshirts
31235,Apparel,Topwear,Tshirts
30340,Apparel,Topwear,Tshirts
32979,Apparel,Topwear,Tshirts
7480,Apparel,Topwear,Tshirts
16125,Apparel,Topwear,Tshirts
10496,Apparel,Topwear,Tshirts
6780,Apparel,Topwear,Tshirts
7856,Apparel,Topwear,Tshirts
28548,Apparel,Topwear,Tshirts
36164,Apparel,Topwear,Tshirts
40066,Apparel,Topwear,Tshirts
2303,Apparel,Topwear,Tshirts
28861,Apparel,Topwear,Tshirts
9694,Apparel,Topwear,Tshirts
3532,Apparel,Topwear,Tshirts
52085,Apparel,Topwear,Tshirts
19396,Apparel,Topwear,Tshirts
43686,Apparel,Topwear,Tshirts
13713,Apparel,Topwear,Tshirts
43064,Apparel,Topwear,Tshirts
27850,Apparel,Topwear,Tshirts
10665,Apparel,Topwear,Tshirts
3683,Apparel,Topwear,Tshirts
39862,Apparel,Topwear,Tshirts
1754,Apparel,Topwear,Tshirts
6183,Apparel,Topwear,Tshirts
28933,Apparel,Topwear,Tshirts
35457,Apparel,Topwear,Tshirts
30325,Apparel,Topwear,Tshirts
17282,Apparel,Topwear,Tshirts
53126,Apparel,Topwear,Tshirts
9983,Apparel,Topwear,Tshirts
38625,Apparel,Topwear,Tshirts
29026,Apparel,Topwear,Tshirts
4061,Apparel,Topwear,Tshirts
32414,Apparel,Topwear,Tshirts
10019,Apparel,Topwear,Tshirts
38645,Apparel,Topwear,Tshirts
31588,Apparel,Topwear,Tshirts
7501,Apparel,Topwear,Tshirts
10776,Apparel,Topwear,Tshirts
13101,Apparel,Topwear,Tshirts
38587,Apparel,Topwear,Tshirts
3336,Apparel,Topwear,Tshirts
20238,Apparel,Topwear,Tshirts
44927,Apparel,Topwear,Tshirts
32640,Apparel,Topwear,Tshirts
